timeperiod;batch_size;dropout;epochs;epoch/epoch;optimizer;learning_rate;Runtime;RSME;MAPE;batch/learning_rate;batch/loss;batch/mse;epoch/learning_rate;epoch/loss;epoch/mse
50d;64;0,3;100;99;adam;0,066968009;5194;12231,395;58,30723263;0,066968009;0,014696135;0,014696135;0,066968009;0,014469896;0,014469896
50d;64;0,2;100;99;sgd;0,075949799;5150;3690,576389;15,68463649;0,075949803;0,00249571;0,00249571;0,075949803;0,002557711;0,002557711
50d;64;0,2;100;99;sgd;0,055008832;5157;3030,388285;13,44019601;0,055008832;0,002821796;0,002821796;0,055008832;0,002868519;0,002868519
50d;64;0,2;100;99;sgd;0,089982634;4990;2842,09637;12,5642202;0,089982636;0,002520772;0,002520772;0,089982636;0,002487284;0,002487284
50d;64;0,1;100;99;adam;0,030160141;5069;1753,019738;11,29552319;0,03016014;0,000779775;0,000779775;0,03016014;0,000785112;0,000785112
50d;64;0,1;100;99;sgd;0,081572474;5061;2262,099017;10,69249749;0,081572473;0,002300035;0,002300035;0,081572473;0,002340969;0,002340969
40d;64;0,1;100;99;adam;0,052270548;5163;5383,196435;23,50528469;0,052270547;0,008993023;0,008993023;0,052270547;0,008767588;0,008767588
40d;64;0,3;100;99;adam;0,013323586;5428;801,7949219;3,828400708;0,013323586;0,000921916;0,000921916;0,013323586;0,000938266;0,000938266
40d;64;0,3;100;99;sgd;0,061689677;5725;3815,500222;16,37406304;0,061689675;0,003202385;0,003202385;0,061689675;0,003161824;0,003161824
40d;64;0,1;100;99;adam;0,066152212;5248;87998,267;355,2097916;0,066152215;1,630450606;1,630450606;0,066152215;1,623872638;1,623872638
40d;64;0,2;100;99;sgd;0,065801534;5680;4229,440893;17,82799953;0,065801531;0,00259549;0,00259549;0,065801531;0,002569211;0,002569211
40d;64;0,1;100;99;adam;0,066146032;6219;5817,230961;24,15850944;0,066146031;0,077650867;0,077650867;0,066146031;0,079348341;0,079348341
30d;64;0,2;100;99;sgd;0,028498223;5144;3686,413856;15,99978702;0,028498223;0,003118886;0,003118886;0,028498223;0,003130226;0,003130226
30d;64;0,1;100;99;sgd;0,049323848;5036;3743,652455;16,10052137;0,049323849;0,002543592;0,002543592;0,049323849;0,002469914;0,002469914
30d;64;0,3;100;99;sgd;0,082896054;5243;2446,690157;11,17733492;0,082896054;0,002977655;0,002977655;0,082896054;0,002971169;0,002971169
30d;64;0,2;100;99;adam;0,024574253;5015;948,4675961;4,701044063;0,024574252;0,000683886;0,000683886;0,024574252;0,000681389;0,000681389
30d;64;0,1;100;99;sgd;0,050865784;4908;3190,554629;14,08319678;0,050865784;0,00268365;0,00268365;0,050865784;0,002734137;0,002734137
30d;64;0,1;100;99;adam;0,081110619;4841;1982,74747;30,0760713;0,081110619;0,081595369;0,081595369;0,081110619;0,082121603;0,082121603
20d;64;0,2;100;99;adam;0,0167093;4791;985,2874905;4,158556677;0,0167093;0,000800227;0,000800227;0,0167093;0,000830677;0,000830677
20d;64;0,1;100;99;sgd;0,074251666;4720;3971,378234;17,12842796;0,074251667;0,002216189;0,002216189;0,074251667;0,002314891;0,002314891
20d;64;0,2;100;99;sgd;0,094466781;4675;2890,417101;12,56660741;0,094466783;0,002530273;0,002530273;0,094466783;0,002562203;0,002562203
20d;64;0,3;100;99;adam;0,012620475;4750;1640,41103;7,676507532;0,012620475;0,000784859;0,000784859;0,012620475;0,000804677;0,000804677
20d;64;0,3;100;99;adam;0,058947483;5124;14090,26604;64,78545353;0,058947485;0,00992774;0,00992774;0,058947485;0,009545586;0,009545586
20d;64;0,2;100;99;adam;0,056518004;5336;8411,298251;26,18612463;0,056518003;0,079031751;0,079031751;0,056518003;0,078270949;0,078270949
10d;64;0,2;100;99;adam;0,077121931;4936;391,3189363;34,99131775;0,077121928;0,085530221;0,085530221;0,077121928;0,087059043;0,087059043
10d;64;0,2;100;99;adam;0,029997088;5562;859,7346291;6,176233857;0,029997088;0,001159121;0,001159121;0,029997088;0,001200261;0,001200261
10d;64;0,1;100;99;adam;0,075633142;5053;7397,734963;24,41328189;0,075633138;0,080630027;0,080630027;0,075633138;0,080161192;0,080161192
10d;64;0,1;100;99;sgd;0,005099232;5393;3153,833185;14,63666849;0,005099231;0,002488959;0,002488959;0,005099231;0,002525975;0,002525975
10d;64;0,2;100;99;adam;0,086147476;5401;789,8600896;9,56748132;0,086147472;0,004988107;0,004988107;0,086147472;0,004944919;0,004944919
10d;64;0,2;100;99;sgd;0,028015226;5239;3374,621295;14,44478987;0,028015226;0,002414208;0,002414208;0,028015226;0,002505717;0,002505717
